Assay Name	TGW	GW_m2	GW_MS	HD	main_spike	main_stem	G_MS	TL	Wvpd	Precipitation
Assay59	44,1	510	0,81	46	5,9	43	18,3	22	6,16	273,1
Assay60	44,69	420	0,8	49	6,2	44	17,9	22	6,16	273,1
Assay61	54,4	580	0,99	49	7,9	66	18,2	22	6,16	273,1
Assay62	52,66	560	0,93	51	7	52	17,7	25	6,16	273,1
Assay63	51,78	620	0,93	49	7,2	67	18	22	6,16	273,1
Assay64	48,27	420	0,92	51	7,1	50	19,1	25	6,16	273,1
Assay65	53,37	460	1,11	51	7,2	48	20,8	25	6,16	273,1
Assay66	50,54	440	1,03	49	7,5	48	20,4	22	6,16	273,1
Assay67	54,76	660	0,92	46	6,4	51	16,8	22	6,16	273,1
Assay68	54,2	560	0,95	49	6,8	45	17,6	22	6,16	273,1
Assay69	53,65	510	0,74	49	5,2	42	13,7	22	6,16	273,1
Assay70	50,24	630	1,05	49	7,8	62	20,8	25	6,16	273,1
Assay71	53,55	650	1,09	49	8,1	63	20,3	22	6,16	273,1
Assay72	52,11	560	1,06	49	7,8	60	20,4	25	6,16	273,1
Assay73	40,17	505	0,71	51	6,7	49	17,7	25	6,16	273,1
Assay74	43,72	510	0,8	51	7	48	18,3	25	6,16	273,1
Assay75	40,56	440	0,72	51	6,9	50	17,8	25	6,16	273,1
Assay76	54,13	740	1,22	53	8,2	70	22,5	25	6,16	273,1
Assay77	50,9	650	1,07	51	8	78	21,1	25	6,16	273,1
Assay78	50,5	640	1,1	51	8	75	21,8	25	6,16	273,1
Assay79	54,12	565	0,96	51	7	53	17,7	25	6,16	273,1
Assay80	52,34	510	0,87	51	6,8	49	16,7	25	6,16	273,1
Assay81	51,59	480	0,88	49	6,9	53	17	22	6,16	273,1
Assay82	52,79	450	0,91	49	6	56	17,2	22	6,16	273,1
Assay83	53,97	410	0,68	49	4,6	42	12,6	22	6,16	273,1
Assay84	51,53	550	0,77	46	5,3	50	15	22	6,16	273,1
Assay85	47,89	705	0,89	49	6,4	56	18,5	25	6,16	273,1
Assay86	50,6	635	1,01	46	7	60	19,9	22	6,16	273,1
Assay87	50,85	600	1,02	49	7,1	54	20	22	6,16	273,1
Assay88	46,54	490	0,73	49	6,5	45	15,6	22	6,16	273,1
Assay89	45,54	570	0,8	46	6	53	17,5	22	6,16	273,1
Assay90	43,38	580	0,64	46	5	50	14,8	22	6,16	273,1
Assay91	54,68	480	0,94	51	6,8	53	17,1	28	6,16	273,1
Assay92	52,65	410	0,8	51	6,5	48	15,1	25	6,16	273,1
Assay93	54,14	440	0,88	51	7,5	47	16,2	25	6,16	273,1
Assay94	56,44	560	1,22	51	9,3	66	21,6	25	6,16	273,1
Assay95	52,4	510	1,18	51	8,7	70	22,5	25	6,16	273,1
Assay96	54,15	570	1,05	51	8,6	70	19,3	25	6,16	273,1
Assay97	48,34	700	0,73	51	6	47	15,1	22	6,16	273,1
Assay98	49,82	840	0,84	49	6,1	60	16,8	22	6,16	273,1
Assay99	48,15	750	0,81	51	6,6	54	16,8	25	6,16	273,1
Assay100	51,55	490	0,76	51	6,8	50	14,8	20	6,16	273,1
Assay101	50,32	590	0,79	51	5,9	58	15,6	22	6,16	273,1
Assay102	53,33	510	0,75	49	6	50	14,1	22	6,16	273,1
Assay103	53,45	630	1,04	51	7,4	46	19,4	25	6,16	273,1
Assay104	49,14	540	0,86	51	7	47	17,4	25	6,16	273,1
Assay105	53,01	580	1,02	51	8,5	43	19,3	25	6,16	273,1
Assay106	55,88	410	0,67	51	5,9	52	11,9	25	6,16	273,1
Assay107	55,45	460	0,87	51	7,1	65	15,6	25	6,16	273,1
Assay108	53,43	420	0,9	51	7,1	55	16,9	22	6,16	273,1
Assay109	53,92	504	1,1	51	8,2	60	20,4	28	6,16	273,1
Assay110	49,79	430	0,93	53	7,4	50	18,7	25	6,16	273,1
Assay111	54,03	420	1,09	51	8,8	54	20,1	25	6,16	273,1
Assay112	49,17	650	1,01	51	7,8	65	20,5	25	6,16	273,1
Assay113	52,23	590	1,03	49	7,4	64	19,7	22	6,16	273,1
Assay114	53,61	610	0,89	51	7,7	63	16,6	25	6,16	273,1
Assay115	51,26	490	0,77	49	6,2	56	15,1	25	6,16	273,1
Assay116	50	550	0,8	49	5,9	58	16	22	6,16	273,1
Assay117	50,9	550	0,85	49	6,4	52	16,6	25	6,16	273,1
Assay118	55,25	520	0,99	51	7,3	54	17,9	25	6,16	273,1
Assay119	52,74	580	1,04	49	7,3	58	19,7	22	6,16	273,1
Assay120	53,09	550	0,93	51	7,3	52	17,5	25	6,16	273,1
Assay121	52,14	450	0,98	51	7,3	40	18,7	25	6,16	273,1
Assay122	56,72	525	1,09	49	8	52	19,2	22	6,16	273,1
Assay123	53,2	510	0,92	49	7,5	42	17,2	22	6,16	273,1
Assay124	50,82	650	1,24	53	8,9	56	24,3	28	6,16	273,1
Assay125	51,47	725	1,19	51	8,1	70	23,1	25	6,16	273,1
Assay126	49,34	660	1,2	51	8,3	60	24,3	25	6,16	273,1
Assay127	52,28	640	1,19	51	8,6	68	22,8	25	6,16	273,1
Assay128	49,62	520	1,04	51	7,6	70	21	25	6,16	273,1
Assay129	54,37	645	1,16	51	8,3	65	21,3	25	6,16	273,1
Assay130	54,89	500	1	51	6,8	68	18,2	25	6,16	273,1
Assay131	51,04	660	0,83	46	5,8	65	16,3	22	6,16	273,1
