Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infraspecific name]	Term Source REF	Term Accession Number	Characteristics[Seed origin]	Protocol REF	Parameter Value[Study start]	Parameter Value[Study duration]	Parameter Value[Growth facility]	Parameter Value[Geographic location]	Term Source REF	Term Accession Number	Sample Name	Characteristics[Experimental unit type]
source15	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bay-0	GMI	GMI:6899		Growth							sample92	
source15	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bay-0	GMI	GMI:6899		Growth							sample93	
source15	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bay-0	GMI	GMI:6899		Growth							sample94	
source16	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-5	GMI	GMI:6900		Growth							sample95	
source16	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-5	GMI	GMI:6900		Growth							sample96	
source16	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-5	GMI	GMI:6900		Growth							sample97	
source16	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-5	GMI	GMI:6900		Growth							sample98	
source16	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-5	GMI	GMI:6900		Growth							sample99	
source16	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-5	GMI	GMI:6900		Growth							sample100	
source16	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-5	GMI	GMI:6900		Growth							sample101	
source16	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-5	GMI	GMI:6900		Growth							sample102	
source17	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-7	GMI	GMI:6901		Growth							sample103	
source17	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-7	GMI	GMI:6901		Growth							sample104	
source17	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-7	GMI	GMI:6901		Growth							sample105	
source17	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-7	GMI	GMI:6901		Growth							sample106	
source17	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-7	GMI	GMI:6901		Growth							sample107	
source17	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-7	GMI	GMI:6901		Growth							sample108	
source17	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-7	GMI	GMI:6901		Growth							sample109	
source17	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bil-7	GMI	GMI:6901		Growth							sample110	
source18	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-4	GMI	GMI:6903		Growth							sample111	
source18	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-4	GMI	GMI:6903		Growth							sample112	
source18	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-4	GMI	GMI:6903		Growth							sample113	
source18	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-4	GMI	GMI:6903		Growth							sample114	
source18	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-4	GMI	GMI:6903		Growth							sample115	
source18	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-4	GMI	GMI:6903		Growth							sample116	
source18	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-4	GMI	GMI:6903		Growth							sample117	
source18	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-4	GMI	GMI:6903		Growth							sample118	
source18	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bor-4	GMI	GMI:6903		Growth							sample119	
source19	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Br-0	GMI	GMI:6904		Growth							sample120	
source19	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Br-0	GMI	GMI:6904		Growth							sample121	
source19	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Br-0	GMI	GMI:6904		Growth							sample122	
source19	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Br-0	GMI	GMI:6904		Growth							sample123	
source19	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Br-0	GMI	GMI:6904		Growth							sample124	
source19	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Br-0	GMI	GMI:6904		Growth							sample125	
source19	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Br-0	GMI	GMI:6904		Growth							sample126	
source19	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Br-0	GMI	GMI:6904		Growth							sample127	
source19	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Br-0	GMI	GMI:6904		Growth							sample128	
source20	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bur-0	GMI	GMI:6905		Growth							sample129	
source20	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bur-0	GMI	GMI:6905		Growth							sample130	
source20	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bur-0	GMI	GMI:6905		Growth							sample131	
source20	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bur-0	GMI	GMI:6905		Growth							sample132	
source20	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bur-0	GMI	GMI:6905		Growth							sample133	
source20	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bur-0	GMI	GMI:6905		Growth							sample134	
source20	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bur-0	GMI	GMI:6905		Growth							sample135	
source20	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bur-0	GMI	GMI:6905		Growth							sample136	
source20	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Bur-0	GMI	GMI:6905		Growth							sample137	
source21	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	C24	GMI	GMI:6906		Growth							sample138	
source21	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	C24	GMI	GMI:6906		Growth							sample139	
source21	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	C24	GMI	GMI:6906		Growth							sample140	
source21	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	C24	GMI	GMI:6906		Growth							sample141	
source21	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	C24	GMI	GMI:6906		Growth							sample142	
source21	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	C24	GMI	GMI:6906		Growth							sample143	
source21	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	C24	GMI	GMI:6906		Growth							sample144	
source21	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	C24	GMI	GMI:6906		Growth							sample145	
