Assay Name	LD	LDV	SD	SDV	FT10	FT16	FT22	Seed Dormancy	Emco5	Emwa1	Emoy*	Hiks1	Noco2	Li7	B11	Na23	Mg25	P31	S34	K39	Ca43	Mn55	Fe56	Co59	Ni60	Cu65	Zn66	As75	Se82	Mo98	Cd114	avrPphB	avrRpm1	avrRpt2	avrB	0W	2W	4W	8W	FLC	FRI	8W GH FT	8W GH LN	0W GH FT	0W GH LN	FT Field	FT Diameter Field	FT GH	FT Duration GH	LC Duration GH	LFS GH	MT GH	RP GH	At1	At1 CFU2	As	As CFU2	Bs	Bs CFU2	At2	At2 CFU2	As2	As2 CFU2	FW 	DW 	LES	YEL 	LY 	LN10	LN16	LN22	Silique 16	Silique 22	Germ 10	Germ 16	Germ 22	Width 10	Width 16	Width 22	Chlorosis 10	Chlorosis 16	Chlorosis 22	Anthocyanin 10	Anthocyanin 16	Anthocyanin 22	Leaf serr 10	Leaf serr 16	Leaf serr 22	Leaf roll 10	Leaf roll 16	Leaf roll 22	Rosette Erect 22	Hypocotyl length	Trichome avg C	Trichome avg JA	Aphid number	Bacterial titer	Seedling Growth	Vern Growth	After Vern Growth	Secondary Dormancy	Germ in dark	DSDS50	Seed bank 133-91	Storage 7 days	Storage 28 days	Storage 56 days
assay706																																														149.589	26.9066	25.0504	19.3802	61.4767	44.4216	16.946	36.3533																																																						
assay955																																																						2.5	3.445	1.333	4.093	8.667	4.774	0.5	3.782	0.167	5.084																																												
assay400																																				72.5	49		21.8	2.867	1.0283	32.1	22.1	37.8	20.4																																																														
assay748																																														166.296	22.3056	24.591	18.8497	65.9456	43.3572	23.2151	41.5888																																																						
assay396																																				125	125	71.9	26.9	1.234	0.838	37.1	27.6	200																																																															
assay1095																																																																																																		0.0090483	0.00171944	0.074019	0.814197	43.9062	21.6954	0	16.34	73.25	100
assay1181																																																																																													7.88														
assay407																																				43.5	34.4	32	28.8	0.445	1.1803			37.1	25.1																																																														
assay422																																								0.835	0.9747	37.8	27.8	73.3	84.1																																																														
assay1064																																																																																																		0.00787941	0.00333583	0.0672424	1.37259	28.6276	59.7406	-24.8829	0	0.75	51.8419
assay593																																														148.116	22.5622	26.5463	18.8578	62.6798	45.5713	17.1191	36.078																																																						
assay191					106	172	250																																																														53	168	128			5	3	3	3	6.5	8.3	0	0	1	0	0	0	0	0	0.5	1	0	0	1															
assay1177																																																																																													0.77														
assay960																																																						1.833	4.47	1.667	3.212	10	5.39	1.167	5.077	1.333	3.723																																												
assay347									1	1	0	1	1																																																																																														
assay733																																														158.529	35.2714	34.7583	17.3611	67.7883	51.9352	16.1051	33.2265																																																						
assay754														7.39791	87.4363	1002.97	13256.8	9518.03	9911.47	26612.8	26768.5	116.833	62.0876	1.27219	3.06322	1.03474	90.4134	0.192722	6.52136	2.08173	2.45775																																																																												
assay705																																														165.986	36.359	28.0015	16.9662	61.9456	45.1416	16.9664	34.0019																																																						
assay435																																					29.4	27.6	22.8	0.081	0.3277	29.8	17.4	36.9	25.6																																																														
assay535																																				32.1	21	17.9	15.2	1.222	0.571	24.2	14.2	27.3	13.1																																																														
assay519																																				38.9	25.6	22.2	19.1	0.482		26.3	15.5	33.9	18.9																																																														
assay677																																														154.676	42.3132	29.091	16.4776	62.924	45.4444	16.8298	33.4555																																																						
assay51	25	1.46249	65	60.1667	46	29	29																																																														15	10	13	1.2	0.9	5	3	2	4.2	9.6	10.2	0	1	1	0	0	1	1	0.5	0.5	1	0	0	0															
assay429																																				42.6	24	23.3	19.1	1.02	0.825	29.3	13.6	46.1	33																																																														
assay1191																																																																																													6.63														
assay574																																														152.963	29.1316	24.4555	21.1135	62.6891	45.6661	16.9943	38.2066																																																						
assay1162																																																																																													0.66														
assay829														8.06508	77.7681	499.046	12161.1	8155.59	7735.71	38315	24810.1	89.9171	69.0681	1.29368	2.83003	0.912057	62.7563	0.213212	4.74145	5.09417	3.72882																																																																												
assay1209																																																																																													0.56														
